DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Goose Zones_MA Line,Goose Zones_Upper Keltner,Goose Zones_Lower Keltner,Goose Zones_Short Trigger,Goose Zones_Top of Range,Goose Zones_Long Trigger,Goose Zones_Bottom of Range,Goose Zones_Arrow Marker,
4/8/2024 11:00:00 PM -06:00,39209,39226,39206,39221,321,335,39476.2119383836,40101.4049746823,38851.0189020849,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 12:00:00 AM -06:00,39223,39234,39213,39213,495,504,39473.592914121,40094.5501988148,38852.6356294273,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 1:00:00 AM -06:00,39213,39226,39199,39204,1013,1095,39470.9103975626,40088.2412416127,38853.5795535126,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 2:00:00 AM -06:00,39204,39215,39172,39173,2060,2159,39467.9461149998,40083.1990402036,38852.6931897961,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 3:00:00 AM -06:00,39174,39190,39156,39183,1652,1716,39465.1108302735,40077.4557661717,38852.7658943752,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 4:00:00 AM -06:00,39182,39224,39173,39210,1659,1741,39462.5724140518,40073.6452610357,38851.499567068,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 5:00:00 AM -06:00,39208,39224,39158,39177,2353,2503,39459.7308974941,40070.9622236124,38848.4995713758,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 6:00:00 AM -06:00,39178,39246,39174,39243,2379,2470,39457.5743711509,40069.529763676,38845.6189786258,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 7:00:00 AM -06:00,39244,39283,39239,39256,3767,3981,39455.568656015,40065.5941441369,38845.5431678932,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 8:00:00 AM -06:00,39258,39307,39117,39145,21563,23667,39452.4784206318,40074.3942024042,38830.5626388594,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 9:00:00 AM -06:00,39146,39211,38873,38938,35917,38238,39447.3592323668,40095.0370461614,38799.6814185723,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 10:00:00 AM -06:00,38938,39053,38907,39037,18571,19389,39443.2760559254,40098.3103093836,38788.2418024671,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 11:00:00 AM -06:00,39036,39112,39016,39031,13148,14028,39439.1738066127,40096.7649331709,38781.5826800544,39281.425,39343.85,39156.575,39094.15,,
4/9/2024 12:00:00 PM -06:00,39033,39104,39024,39040,9942,10339,39435.2019279399,40093.8120482637,38776.5918076161,39281.425,39343.85,39156.575,39094.15,,
